Date,Min Temperature (C),Max Temperature (C)
10-10-2021,19.6,31.0
10-11-2021,18.9,31.0
10-12-2021,18.5,32.1
10-13-2021,17.6,31.0
10-14-2021,16.6,32.6
10-15-2021,17.3,33.3
10-16-2021,17.6,32.1
10-17-2021,19.3,25.2
10-18-2021,18.9,20.9
10-19-2021,15.7,28.6
10-20-2021,17.8,29.3
10-21-2021,19.4,28.1
10-22-2021,17.1,29.1
10-23-2021,17.1,28.8
10-24-2021,16.6,25.0
10-25-2021,13.9,26.0
10-26-2021,13.3,27.1
10-27-2021,14.8,27.0
10-28-2021,13.2,28.3
10-29-2021,13.8,28.1
10-30-2021,13.7,27.1
10-31-2021,13.0,26.3
11-01-2021,13.6,26.6
11-02-2021,12.8,27.0
11-03-2021,13.2,26.1
11-04-2021,11.9,26.0
11-05-2021,11.5,26.0
11-06-2021,11.1,25.6
11-07-2021,11.2,26.0
11-08-2021,11.3,25.6
11-09-2021,11.4,26.0
11-10-2021,11.6,25.8
11-11-2021,11.9,26.6
11-12-2021,12.3,26.1
11-13-2021,11.2,25.0
11-14-2021,11.5,25.0
11-15-2021,11.6,24.0
11-16-2021,10.8,25.1
11-17-2021,10.2,23.6
11-18-2021,11.0,24.3
11-19-2021,11.7,25.6
11-20-2021,11.0,26.1
11-21-2021,11.1,26.8
11-22-2021,10.2,25.3
11-23-2021,8.7,23.8
11-24-2021,9.6,23.6
11-25-2021,9.9,24.0
11-26-2021,9.1,23.3
11-27-2021,9.8,23.1
11-28-2021,9.6,24.0
11-29-2021,8.4,23.6
11-30-2021,8.1,24.6
12-01-2021,11.3,20.0
12-02-2021,11.9,18.7
12-03-2021,14.1,19.6
12-04-2021,11.5,25.3
12-05-2021,11.3,23.1
12-06-2021,11.9,21.0
12-07-2021,8.4,24.3
12-08-2021,8.0,25.0
12-09-2021,8.5,22.6
12-10-2021,8.6,21.6
12-11-2021,6.7,22.3
12-12-2021,7.2,22.8
12-13-2021,7.3,21.6
12-14-2021,7.0,18.8
12-15-2021,5.2,21.8
12-16-2021,5.7,20.6
12-17-2021,5.4,17.6
12-18-2021,4.1,17.0
12-19-2021,1.6,20.6
12-20-2021,1.9,19.8
12-21-2021,3.9,22.0
12-22-2021,4.1,22.8
12-23-2021,5.1,18.6
12-24-2021,5.6,21.0
12-25-2021,4.9,18.7
12-26-2021,5.4,17.0
12-27-2021,5.6,21.8
12-28-2021,5.9,19.0
12-29-2021,5.4,19.1
12-30-2021,4.7,18.8
12-31-2021,4.3,21.0
01-01-2022,4.3,21.0
01-02-2022,5.6,21.0
01-03-2022,5.4,23.0
01-04-2022,8.7,17.2
01-05-2022,10.9,14.8
01-06-2022,10.8,20.0
01-07-2022,9.1,21.6
01-08-2022,8.6,13.7
01-09-2022,8.6,17.3
01-10-2022,9.9,18.8
01-11-2022,7.2,19.3
01-12-2022,7.7,20.1
01-13-2022,7.7,18.6
01-14-2022,6.3,20.0
01-15-2022,5.8,18.1
01-16-2022,5.7,17.0
01-17-2022,7.2,17.0
01-18-2022,7.7,21.6
01-19-2022,7.7,17.3
01-20-2022,9.5,16.6
01-21-2022,6.9,21.1
01-22-2022,7.1,14.0
01-23-2022,8.8,11.9
01-24-2022,9.2,12.6
01-25-2022,8.1,16.0
01-26-2022,6.8,16.0
01-27-2022,5.2,18.0
01-28-2022,5.6,17.8
01-29-2022,4.8,17.3
01-30-2022,4.0,22.6
01-31-2022,6.4,18.1
02-01-2022,7.2,20.0
02-02-2022,6.4,16.0
02-03-2022,8.8,12.3
02-04-2022,7.3,11.6
02-05-2022,3.5,19.0
02-06-2022,6.2,21.0
02-07-2022,8.1,20.3
02-08-2022,6.3,22.3
02-09-2022,9.8,16.5
02-10-2022,5.0,19.0
02-11-2022,5.4,20.0
02-12-2022,4.9,23.0
02-13-2022,6.1,20.6
02-14-2022,7.2,21.1
